Building Model Name, Z-axis Rotation (in degrees), X, Y, Z
41_StClaire_Place, 0, 0, 0, 0
558_Riverside, 0, 0, 0, 0
564_Riverside, 0, 0, 0, 0
3191_Broadway, 0, 0, 0, 0
3207_Broadway, 0, 0, 0, 0
3221_Broadway, 0, 0, 0, 0
3229_Broadway, 0, 0, 0, 0
3233_Broadway, 0, 0, 0, 0
3241_Broadway, 0, 0, 0, 0
3247_Broadway, 0, 0, 0, 0
3251_Broadway, 0, 0, 0, 0
3259_Broadway, 0, 0, 0, 0
3291_Broadway, 0, 0, 0, 0
3281_Broadway, 0, 0, 0, 0
3283_Broadway, 0, 0, 0, 0
3285_Broadway, 0, 0, 0, 0
3287_Broadway, 0, 0, 0, 0
614_W125st, 0, 0, 0, 0
619_W125st, 0, 0, 0, 0
628_W125st, 0, 0, 0, 0
633_W125st, 0, 0, 0, 0
635_W125st, 0, 0, 0, 0
637_W125st, 0, 0, 0, 0
651_W125st, 0, 0, 0, 0
663_W125st, 0, 0, 0, 0
613_W129st, 0, 0, 0, 0
623_W129st, 0, 0, 0, 0
627_W129st, 0, 0, 0, 0
603_W130st, 0, 0, 0, 0
615_W130st, 0, 0, 0, 0
617_W130st, 0, 0, 0, 0
625_W130st, 0, 0, 0, 0
631_W130st, 0, 0, 0, 0
632_W130st, 0, 0, 0, 0
641_W130st, 0, 0, 0, 0
604_W131st, 0, 0, 0, 0
605_W131st, 0, 0, 0, 0
609_W131st, 0, 0, 0, 0
614_W131st, 0, 0, 0, 0
615_W131st, 0, 0, 0, 0
620_W131st, 0, 0, 0, 0
622_W131st, 0, 0, 0, 0
624_W131st, 0, 0, 0, 0
630_W131st, 0, 0, 0, 0
635_W131st, 0, 0, 0, 0
636_W131st, 0, 0, 0, 0
638_W131st, 0, 0, 0, 0
641_W131st, 0, 0, 0, 0
653_W131st, 0, 0, 0, 0
640_W132st, 0, 0, 0, 0
2283_Joe_Dimaggio_Highway, 0, 0, 0, 0
2291_Joe_Dimaggio_Highway, 0, 0, 0, 0
2293_Joe_Dimaggio_Highway, 0, 0, 0, 0
2307_Joe_Dimaggio_Highway, 0, 0, 0, 0
2311_Joe_Dimaggio_Highway, 0, 0, 0, 0
2321_Joe_Dimaggio_Highway, 0, 0, 0, 0
