Building Model Name, Z-axis Rotation (in degrees), X, Y, Z
41_StClaire_Place, 0, 0, 0, 10
558_Riverside, 0, 0, 0, 22
564_Riverside, 0, 0, 0, 24
3191_Broadway, 0, 0, 0, 26
3207_Broadway, 0, 0, 0, 23
3221_Broadway, 0, 0, 0, 23
3229_Broadway, 0, 0, 0, 23
3233_Broadway, 0, 0, 0, 24
3241_Broadway, 0, 0, 0, 28
3247_Broadway, 0, 0, 0, 30
3249_Broadway, 0, 0, 0, 33
3251_Broadway, 0, 0, 0, 36
3259_Broadway, 0, 0, 0, 46
3291_Broadway, 0, 0, 0, 55
3281_Broadway, 0, 0, 0, 56
3283_Broadway, 0, 0, 0, 57
3285_Broadway, 0, 0, 0, 58
3287_Broadway, 0, 0, 0, 62
614_W125st, 0, 0, 0, 24
619_W125st, 0, 0, 0, 21
628_W125st, 0, 0, 0, 20
633_W125st, 0, 0, 0, 16
635_W125st, 0, 0, 0, 16
637_W125st, 0, 0, 0, 16
651_W125st, 0, 0, 0, 13
663_W125st, 0, 0, 0, 10
613_W129st, 0, 0, 0, 20
623_W129st, 0, 0, 0, 20
627_W129st, 0, 0, 0, 18
615_W130st, 0, 0, 0, 24
617_W130st, 0, 0, 0, 23
625_W130st, 0, 0, 0, 22
631_W130st, 0, 0, 0, 20
632_W130st, 0, 0, 0, 18
641_W130st, 0, 0, 0, 16
604_W131st, 0, 0, 0, 29
605_W131st, 0, 0, 0, 39
609_W131st, 0, 0, 0, 42
614_W131st, 0, 0, 0, 26
615_W131st, 0, 0, 0, 38
620_W131st, 0, 0, 0, 26
622_W131st, 0, 0, 0, 26
624_W131st, 0, 0, 0, 24
630_W131st, 0, 0, 0, 21
635_W131st, 0, 0, 0, 28
636_W131st, 0, 0, 0, 20
638_W131st, 0, 0, 0, 19
641_W131st, 0, 0, 0, 25
653_W131st, 0, 0, 0, 25
640_W132st, 0, 0, 0, 21
2283_Joe_Dimaggio_Highway, 0, 0, 0, 11
2291_Joe_Dimaggio_Highway, 0, 0, 0, 13
2293_Joe_Dimaggio_Highway, 0, 0, 0, 13
2307_Joe_Dimaggio_Highway, 0, 0, 0, 16
2311_Joe_Dimaggio_Highway, 0, 0, 0, 19
2321_Joe_Dimaggio_Highway, 0, 0, 0, 45
